WP_CD;WP_TTL
O;Other activities
O1;Promotion of innovation, technology transfer and management of intellectual property rights
IST-2002-2.3;Pushing the limits of CMOS, preparing for post-CMOS
NMP-2002-3.4;"The creation of ""knowledge communities"" in production technologies"
IST-2002-2.3.1.1;Pushing the limits of CMOS, preparing for post-CMOS
IST-2002-2.3.1.10;eSafety of road and air transports
IST-2002-2.3.1.11;eHealth
IST-2002-2.3.1.12;Technology-enhanced learning and access to cultural heritage
IST-2002-2.3.1.2;Micro and nano-systems
IST-2002-2.3.1.3;Broadband for all
IST-2002-2.3.1.4;Mobile and wireless systems beyond 3G
IST-2002-2.3.1.5;Towards a global dependability and security framework
IST-2002-2.3.1.6;Multimodal interfaces
IST-2002-2.3.1.7;Semantic-based knowledge systems
IST-2002-2.3.1.8;Networked audiovisual systems and home platforms
IST-2002-2.3.1.9;Networked business and governments
IST-2002-2.3.3.1;Products and Services engineering 2010
IST-2002-2.3.4.1;FET - Open
IST-2002-2.3.4.2;FET pro-actives
IST-2002-2.3.6;Programme Level Accompanying Measures
IST-2001-2.1.1;Socio-economic analysis
IST-2001-2.1;New methods of work and electronic commerce
IST-2000-2.1;New methods of work and electronic commerce
IST-2001-4.5.2;Terrestrial wireless systems and networks
IST-2002-4.6.1;Networked audio-visual systems and services
IST-2000-5.1.4;CPA4: Large scale systems survivability
IST-2001-3.3.2;Natural and multilingual interactivity
IST-2001-3.4.1;Semantic Web technologies
IST-2001-5.1.9;CPA9: Grid test beds, deployment and technologies
IST-2002-4.8.1;Microelectronics design and IP re-use
IST-2000-2.1.2;Knowledge Management for eCommerce and eWork
IST-2001-2.1.2;Knowledge management
IST-2001-8.1.1;Clustering of Projects
IST-2001-6.2.3;Lifelike perception systems
IST-2002-2.1.2;Strategic roadmaps for applied research
IST-2002-8.1.1;Clustering of Projects
IST-2001-5.1.13;CPA13: Advanced signal processing systems and applications
IST-2002-6.2.1;Quantum Information Processing and Communication (QIPC)
1.1.2.-8.2.1;Concerted actions and thematic networks
1.1.2.-8.3.1;Accompanying measures
1.1.2.-8.3.3;Accompanying measures
IST-2000-1.1;Health
IST-2000-1.2.1;Intelligent assistive systems and interfaces to Compensate for Functional Impairments
IST-2000-1.4.2;Data Fusion and Smart Sensor Technologies for Humanitarian Demining
IST-2000-2.1.4;Early Exploitation and Adoption of eCommerce and eWork Solutions and Practices
IST-2000-2.1.6;Specific Support Measures
IST-2000-2.2.2;"""Smart"" Organisations"
IST-2000-2.3.1;Dynamic Value Constellations
IST-2000-3.1.1;Authoring interactive Web content
IST-2000-3.1.2;Personalising content
IST-2000-3.1.3;Trials and test-beds for digital content authoring and personalising systems
IST-2000-3.2.1;School of tomorrow
IST-2000-3.2.2;The learning citizen
IST-2000-3.2.3;Trials and best practice addressing advanced solutions for on-the-job training in SMEs
IST-2000-3.3.1;Natural interactivity
IST-2000-3.3.2;Cross-lingual information management and knowledge discovery
IST-2000-3.3.3;Multilingual communication services and appliances
IST-2000-3.3.4;Trials and best practice in multilingual e-service and e-commerce
IST-2000-3.4;Information Access, Filtering, Analysis and Handling
IST-2000-3.4.1;Content-processing for domestic and mobile multimedia platforms
IST-2000-3.4.2;Information visualisation
IST-2000-3.4.3;Trials and best practice in information access, filtering, analysis and handling
IST-2000-3.5.1;Working groups and, dissemination and awareness actions
IST-2000-4.1;Implications Assessment
IST-2000-4.2.1;Distributed systems and services provision
IST-2000-4.3.2;Software-Engineering for generic end-user services
IST-2000-4.5.1;Re-configurable radio systems & networks
IST-2000-4.5.5;Mobile and personal communications and satellite systems - take-up measures
IST-2000-4.6.2;User and service interfaces and buffers for seamless end-to-end services
IST-2000-5.1.3;CPA3: Ubiquitous and intelligent info-mobility and geo-information systems
IST-2000-5.1.8;CPA8: Statistical tools, methods & applications for the Information Society
IST-2000-7.1.2;RN2: End-to-End Application Experiments
IST-2000-8.1.2;Networks of Excellence and working groups
IST-2000-8.1.4;Improving Human Capital in IST-Research (IHC)
IST-2000-8.1.5;Enabling RTD Co-operation with Newly Associated States
IST-2001-1.1;Health
IST-2001-1.1.1;Intelligent environment for citizen centred health management
IST-2001-1.1.2;Intelligent collaborative environments supporting continuity of care
IST-2001-1.1.3;Best practice and trials in e-Health
IST-2001-1.5.1;Intelligent transport systems
IST-2001-2.1.4;Exploratory high risk/long term research
IST-2001-2.1.5;High impact Take-up, dissemination, and training
IST-2001-2.1.6;Large scale demonstrators
IST-2001-2.2.2;Smart organisations
IST-2001-3.1;Interactive publishing, digital content and cultural heritage
IST-2001-3.1.1;Publishing digital content
IST-2001-3.1.3;Next generation digital collections
IST-2001-3.2.1;Self learning for work
IST-2001-3.2.2;e-Learning futures
IST-2001-3.3.1;Multilingual Web
IST-2001-3.5.1;x-Content futures
IST-2001-3.5.3;KA III specific support measures
IST-2001-4.1;Work spanning Key Action IV
IST-2001-4.1.2;Multiservice networks - middleware for seamless access to services
IST-2001-4.2.1;Real time distributed systems
IST-2001-4.5.1;Reconfigurable radio systems & networks
IST-2001-5.1.11;CPA11: Regional and sectoral pilot actions and demonstrations for the digital economy
IST-2001-5.1.12;CPA12: Application services provision
IST-2001-5.1.7;CPA7: Socio-economic analysis and indicators for the information society
IST-2001-5.1.8;CPA 8: eLearning for European youth in a digital age
IST-2001-6.2.2;Global computing: co-operation of autonomous and mobile entities in dynamic environments
IST-2001-8.1.4;Improving human capital in IT by competence building (IHC)
IST-2001-8.1.6;Enabling RTD co-operation with Newly Associated States
IST-2001-8.1.7;Enabling RTD Co-operation with 3rd Countries
IST-2001-8.1.9;Studies
IST-2002-1.1.1;Intelligent systems for the monitoring of health status
IST-2002-1.1.2;"Systems for health professionals: creating a ""Health knowledge info-structure"""
IST-2002-2.1.1;Exploratory high risk/long term research
IST-2002-2.1.3;Addressing eEurope and eEurope+ objectives
IST-2002-3.5.2;Preparing for future research activities
IST-2002-3.5.3;KA3 pioneering research
IST-2002-4.2.2;Advanced control systems
IST-2002-4.4.1;Simulation and visualisation technologies
IST-2002-4.5.1;Towards technologies, systems and networks beyond 3G
IST-2002-4.5.2;Validation of wireless and mobile systems and technologies
IST-2002-4.8.2;Microelectronics technologies - processes, equipment and devices
IST-2002-4.8.3;Optical and opto-electronic technologies
IST-2002-4.8.4;Industrial micro- and opto-electronic technologies - take-up/ assessment actions
IST-2002-5.1.10;CPA10: Sensor technologies and applications
IST-2002-5.1.14;CPA14: Mobile applications and services
IST-2002-5.1.15;CPA15: Technology platforms for cultural and arts creative expressions
IST-2002-7.1.2;Advanced experimental infrastructures
IST-2002-8.1.10;Strengthening the European Research Area (ERA) in IST Domains
IST-2002-8.1.11;"""Exploratory awards"" specific measure"
IST-2002-8.1.2;Networks of Excellence and working groups in IST
IST-2002-8.1.3;Channelling of standardisation and interoperability initiatives
IST-2002-8.1.6;Enabling RTD co-operation with Newly Associated States
IST-2002-8.1.7;Enabling RTD Co-operation with 3rd Countries
IST-2002-8.1.8;Dissemination and awareness of IST research results
IST-2002-8.1.9;Studies
IPS-2000-1.2;New approaches to technology transfer
IST-2000-8.1.1;Project Clusters
1.1.2.-6.1.1;FET O: Open domain
IST-2000-6.1.1;Open domain
IST-2001-6.1.1;Open domain
IST-2001-8.1.2;Networks of Excellence and working groups
IST-2002-6.1.1;Open domain
1.1.2.-1.1;RTD spanning key action 1
1.1.2.-2.1;RTD spanning key action 2
1.1.2.-3.1;RTD spanning key action 3
1.1.2.-4.1;RTD spanning key action IV
1.1.2.-6.1;FET O: Open domain
1.1.2.-8.2;Concerted actions and thematic networks
1.1.2.-8.3;Accompanying measures
1.1.2.-8.4;Technology stimulation projects to encourage and facilitate SME participation
IST-2001-3.1.2;Heritage for all
IST-2002-4.2.3;Networks and technologies for distributed services and applications
3;Management of radioactive waste, radiation protection and other activities in the field of nuclear technologies and safety
3.2;Management of Radioactive waste
3.2.1;Geological Disposal
3.2.2;Partitioning and transmutation and other concepts to produce less waste in nuclear energy generation
3.3;Radiation Protection
3.3.1;Quantification of risks associated with low and protracted exposures
3.3.2;Medical exposures and natural sources of radiation
3.3.3;Protection of the environment and radioecology
3.3.4;Risk and emergency management
3.3.5;Protection of the workplace
3.4;Other Activities in the Field of Nuclear Technologies and Safety
3.4.1;Innovative concepts
3.4.2;Education and training
3.4.3;Safety of existing nuclear installations
3.5;Specific support actions, trans-national access to large infrastructures and actions to promote and develop human resources and mobility
3.5.1;Specific support actions
3.5.2;Trans-national access to large infrastructure
3.5.3;Actions to promote and develop human resources and mobility
3.5.3.1;Training fellowships
3.5.3.2;Special training courses
3.5.3.3.;Grants for co-operating with third countries
IST-2004-2.3.6.1;To stimulate, encourage and facilitate the participation of organisations from the New Member States (NMS) and the Associated Candidate Countries (ACC) in the activities of IST
IST-2004-2.3.6.2;To prepare for future international co-operation in IST
IST-2004-2.3.6.3;To progress towards the achievement of the objectives of a European Research Area in a given IST field
IST-2002-2.3.2.4;Cognitive systems
IST-2002-2.3.2.5;Embedded systems
SUSTDEV-2002-3.3.1.3.12;Human resource development
SUSTDEV-2002-3.3.1.3.2;New concepts for trans-European rail freight services
INFRASTR;Research Infrastructures
SUSTDEV-1.1.7;Grid issues
SUSTDEV-1.1.8;Thematic Promotion and Dissemination
IST-2002-2.3.2.1;Advanced displays
IST-2002-2.3.2.10;e-inclusion
IST-2002-2.3.2.2;Optical, opto-electronic, & photonic functional components
IST-2002-2.3.2.3;Open development platforms for software and services
IST-2002-2.3.2.6;Applications and services for the mobile user and worker
IST-2002-2.3.2.7;Cross-media content for leisure and entertainment
IST-2002-2.3.2.8;Grid based systems for complex problem solving
IST-2002-2.3.2.9;Improving Risk management
IST-2002-2.3.5;Research Networking Test beds
SSP-2.1.;Health determinants and the provision of high quality and sustainable health care services and pension systems
SSP-2.2.;Public health issues, including epidemiology contributing to disease prevention and responses to emerging rare and communicable diseases, allergies, procedures for secure blood and organ donations, non-animal test methods
SSP-2.4.;Quality of life issues relating to handicapped/disabled
IST-2004-2.4.13;Strengthening the Integration of the ICT research effort in an Enlarged Europe
IST-2004-2.4.3;Towards a global dependability and security framework
IST-2004-2.4.12;eSafety Co-operative Systems for Road Transport
IST-2004-2.4.11;Integrated biomedical information for better health
IST-2004-2.4.10;Technology-enhanced Learning
IST-2004-2.4.9;ICT Research for Innovative Government
IST-2004-2.4.4;Broadband for All
IST-2004-2.4.5;Mobile and Wireless Systems and Platforms Beyond 3G
IST-2004-2.4.6;Networked Audio Visual Systems and Home Platforms
IST-2004-2.4.1;Nanoelectronics
IST-2004-2.4.2;Technologies and devices for micro/nano-scale integration
IST-2004-2.4.7;Semantic-based Knowledge and Content Systems
IST-2004-2.4.8;Cognitive Systems
FP6-CITIZENS-1.1;Topics for NOEs and IPs within the area of improving the generation, distribution and use of knowledge and its impact on economic and social development.
FP6-CITIZENS-1.2;Topics for STREPs and Co-ordination Actions in the area of Improving the generation, distribution and use of knowledge and its impact on economic and social development.
FP6-CITIZENS-2.2;Topics for STREPs and Co-ordination Actions in the area of Options and choices for the development of a knowledge-based society.
FP6-CITIZENS-3.1;Topics for NoEs and IPs within the area of the variety of paths towards a knowledge society.
FP6-CITIZENS-3.2;Topics for STREPs and Co-ordination Actions within the area of Variety of paths towards knowledge society
FP6-CITIZENS-4.2;Topics for STREPs and Co-ordination Actions within the area of the implications of European integration and enlargement for governance and the citizen.
FP6-CITIZENS-5.1;Topics for NoEs and IPs within the area of articulation of areas of responsibility and new forms of governance.
FP6-CITIZENS-5.2;Topics for STREPs and Co-ordination Actions in the area of Articulation of areas of responsibility and new forms of governance.
FP6-CITIZENS-6.1;Topics for NoEs and IPs within the area of issues connected with the resolution of conflicts and restoration of peace and justice
FP6-CITIZENS-6.2;Topics for specific targeted research projects and Co-ordination Actions in the area of Issues connected with the resolution of conflicts and restoration of peace and justice
FP6-CITIZENS-7.2;Topics for STREPs and Co-ordination Actions within the area of New forms of CITIZEN. Ship and cultural identities.
INCO-2004-A1.2;Health care system, policy and management
INCO-2004-A1.3;Knowledge and technologies to improve control of neglected communicable diseases
INCO-2004-A2.3;Managing arid and semi-arid ecosystems
INCO-2004-A3.2;Bio-diverse, bio-safe and value added crops
INCO-2004-A3.3;Aquatic farming systems
INCO-2004-B1.5;Renewable energies
INCO-2004-B.3;"Health:Health information and health management systems; Prevalent genetic disorders"
INCO-2004-C-WBC-SSA;Reinforcement of the WBC research capacities
NMP-2004-3.4.1.1-1;"Towards ""converging"" technologies"
NMP-2004-3.4.1.2-1;Using nature as model for new nanotechnology-based processes
NMP-2004-3.4.1.3-1;Three dimensional nano-structures based on elements other than carbon
NMP-2004-3.4.1.5-1;Nanotechnology-based targeted drug delivery
NMP-2004-3.4.1.5-2;Interaction of engineered nanoparticles with the environment and the living world
NMP-2004-3.4.2.1-1;Interfacial phenomena in materials
NMP-2004-3.4.2.1-2;New generation of tools for advanced materials characterisation
NMP-2004-3.4.2.1-3;Methods of computational modelling of multifunctional materials
NMP-2004-3.4.2.2-1;Advanced materials processing
NMP-2004-3.4.2.2-2;Development of nanostructured porous materials
NMP-2004-3.4.2.2-3;Multifunctional ceramic thin films with radically new properties
NMP-2004-3.4.2.3-1;Materials by design: multifunctional organic materials
NMP-2004-3.4.2.3-2;Materials for solid state ionics
NMP-2004-3.4.3.1-1;New production technologies for new micro-devices using ultra precision engineering techniques
NMP-2004-3.4.3.1-2;Next generation of flexible assembly technology and processes
NMP-2004-3.4.3.1-3;New concepts for global delivery
NMP-2004-3.4.3.1-4;Roadmapping and foresight studies on the future of manufacturing (Manufuture)
NMP-2004-3.4.3.1-5;Coordination of European Manufacturing Research Activities
NMP-2004-3.4.4.1;Multifuctional material-based factory of the future
NMP-2004-3.4.4.2;New construction products and processes for high added value applications
NMP-2004-3.4.4.3;"Mastering ""Industrial Biotechnology""- Environmental Technology for sustainable production of added value products"
NMP-2004-SME-3.4.4.4;Multi-functional technical textiles for construction, medical applications and protective clothing
NMP-2004-SME-3.4.4.5;Simultaneous engineering and production of integrated high-tech components for European transport
NMP-2004-SME-3.4.4.6;Biomaterials technologies for implants
NMP-2004-SME-3.4.4.7;Nanotechnological approaches for improved security systems
NMP-2004-3.4.5.1;Basic materials and industrial process research on functional materials for fuel cells
NMP-2004-3.4.5.2;Improved, energy efficient hydrogen storage systems especially for transport
NMP-2004-3.4.5.3;Cooperation with Third Countries in the field of nanotechnology, advanced multi-functional materials and new ways of production research
SME-2004-COLL;Collective Research (all areas of science and technology)
SME-2-Agriculture/Food;2.-Agriculture/Food (sector code)
SME-3-Biotechnologies/Genomics;3.-Biotechnologies/Genomics (sector code)
SME-4-Chemical/Petrochemical;4.-Chemical/Petrochemical (sector code)
SME-5-Construction/Building;5.-Construction/Building (sector code)
SME-6-Electronics;6.-Electrical industry/Electronics (sector code)
SME-7-Energy;7.-Energy (sector code)
SME-8-Environment;8.-Environment/Waste management (sector code)
SME-9-Fisheries/Aquaculture;9.-Fisheries/Aquaculture (sector code)
SME-10-Health care;10.-Health care (sector code)
SME-11-ICT;11.-Information and Communications Technologies (sector code)
SME-12-Machinery/Instruments;12.-Machinery/Instruments/Sensors (sector code)
SME-13-Materials processing;13.-Materials processing (sector code)
SME-14-Measurements/Testing;14.-Measurements/Testing (sector code)
SME-15-Medical equipment;15.-Medical and Biomedical equipment (sector code)
SME-16-Nanotechnologies;16.-Nanotechnologies (sector code)
SME-17-Shoe/Leather;17.-Shoe/Leather (sector code)
SME-18-Textile/Clothing;18.-Textile/Clothing (sector code)
SME-19-Transport;19.-Transport (sector code)
SME-20-Wood/Paper/Furniture;20.-Wood/Paper/Furniture (sector code)
SME-21-Other;21.-Other (sector code)
SME-2004-COOP;Co-operative Research (all areas of science and technology)
NMP-2004-3.4.1.1-2;Standardisation for nanotechnology
SME-1-Aeronautics/Aerospace;1.-Aeronautics/Aerospace (sector code)
SOCIETY-WP2005-4.3.4.2-RES;René Descartes Prize 2005 (research)
SOCIETY-WP2005-4.3.4.2-COM;René Descartes Prize 2005 (communication)
IST-2002-V.1.9;CPA9: GRID TECHNOLOGIES AND THEIR APPLICATIONS
IST-2001-1.3.1;MOBILE ADAPTIVE PROCEDURE
SOCIETY-WP2005-4.3.6.2;¿Science and Society¿ beyond FP6
SOCIETY-WP2005-4.3.4.1-ESW;EU dimension of science weeks 2006
SOCIETY-WP2005-4.3.4.1-BEST;¿Best of¿ science events 2006
INNOVATION-2005-1.2.1.7.a;Facilitating the integration of open standards into the design of new products and services
INNOVATION-2005-1.2.1.7.b;Facilitating the integration of open standards into business practices
INNOVATION-2005-1.2.1.7.c;Stimulating innovation through reference to standards in procurement
INNOVATION-2005-1.2.3.3;Identification of new methods of promoting and encouraging Trans-national Technology Transfer
AERO-2005-1.3.1.1a;Integrated design and product development
AERO-2005-1.3.1.1b;Manufacturing
AERO-2005-1.3.1.1c;Maintenance
AERO-2005-1.3.1.1d;Aerodynamics
AERO-2005-1.3.1.1e;Structural weight reduction
AERO-2005-1.3.1.1f;Equipment weight and power take-up reduction
AERO-2005-1.3.1.1g;Propulsion
AERO-2005-1.3.1.1h;Crew workload
AERO-2005-1.3.1.1i;Cabin environment
AERO-2005-1.3.1.1j;On-board passenger services
AERO-2005-1.3.1.1k;Flight test techniques and related measuring technologies
AERO-2005-1.3.1.1l;New aircraft concepts and breakthrough technologies
AERO-2005-1.3.2.1;Integration of technologies towards the future tilt-rotor aircraft
AERO-2005-1.3.2.2;Integrated approach to an e-enabled cabin and associated logistics for improved passenger services and operational efficiency
AERO-2005-1.3.2.3;Integrated approach to the power-by-wire aircraft
AERO-2005-1.3.2.4;New approaches to the development of small-size commercial aircraft
AERO-2005-1.3.3.1;Integration of research capacities on the modelling of aerodynamic flows
AERO-2005-1.3.1.2a;Propulsion
AERO-2005-1.3.1.2b;Aerodynamics
AERO-2005-1.3.1.2c;Structural weight reduction
AERO-2005-1.3.1.2d;Equipment weight and power take-up reduction
AERO-2005-1.3.1.2e;Combustion
AERO-2005-1.3.1.2f;External noise
AERO-2005-1.3.1.2g;Manufacturing
AERO-2005-1.3.1.2h;Maintenance
AERO-2005-1.3.1.2i;New aircraft concepts and breakthrough technologies
AERO-2005-1.3.2.5;Systems approach to the future low-emissions aeroengine
AERO-2005-1.3.1.3a;Human-machine interface
AERO-2005-1.3.1.3b;Accident prevention
AERO-2005-1.3.1.3c;Accident survivability
AERO-2005-1.3.1.3d;Aircraft security
AERO-2005-1.3.1.3e;New aircraft concepts and breakthrough technologies
AERO-2005-1.3.3.2;Integration of research capacities in the domain of aviation safety
AERO-2005-1.3.1.4a;Co-operative air traffic management
AERO-2005-1.3.1.4b;Advanced airborne system applications
AERO-2005-1.3.1.4c;Reduced separation standards
AERO-2005-1.3.1.4g;Innovative air traffic management research
AERO-2005-2.3.2.1a;Water resources
AERO-2005-2.3.2.1b;Security
AERO-2005-2.3.2.1c;Long-term sustainability of GMES
AERO-2005-2.3.2.1d;Data harmonisation for geo-information in support of integrated GMES/INSPIRE services
AERO-2005-2.3.2.1e;Education and training
AERO-2005-2.3.2.1f;Networking the users
AERO-2005-2.3.2.1g;International cooperation
AERO-2005-2.3.3.1a;Convergence and integration of satellite telecommunications with GMES
AERO-2005-2.3.3.1b;Convergence and integration of satellite telecommunications with Galileo
AERO-2005-2.3.3.1c;End-to-end satellite telecommunications systems
AERO-2005-2.3.3.1d;Analysis of future potential combined Galileo/satellite telecommunications services
AERO-2005-2.3.3.1e;International cooperation
SUSTDEV-2005-3.1.1.1.1;Low cost power-integrated advanced hybrid configurations
SUSTDEV-2005-3.1.1.1.2;Towards advanced road transport for urban environment
SUSTDEV-2005-3.1.1.1.3;Efficient rail traction and sustainable energy supply
SUSTDEV-2005-3.1.1.1.4;Research domain 1.4 (for all transport modes and for road transport with emphasis on after-treatment) and research domain 1.8
SUSTDEV-2005-3.1.1.1.5;Research domains 1.4 to 1.10 for all surface transport modes
SUSTDEV-2005-3.2.2.2.1;Future road vehicle production structures (the 5 day car initiative)
SUSTDEV-2005-3.2.2.2.2;Development of cost-effective high performance track infrastructure for heavy and light rail systems
SUSTDEV-2005-3.2.2.2.3;Structuring the European Marine Testing capacity for increased competitiveness
SUSTDEV-2005-3.2.2.2.4;Research domain 2.2 (only for a new generation of products and systems in waterborne transport), research domain 2.3 (for all types of transport vehicles and vessels excluding passenger cars), research domain 2.4 and research domain 2.6.
SUSTDEV-2005-3.2.2.2.5;Research domains 2.1 to 2.7 for all surface transport modes
SUSTDEV-2005-3.3.1.3.1;Effective operations in ports
SUSTDEV-2005-3.3.1.3.2;Research domain 3.14 (only for rail transport) and research domain 3.16
SUSTDEV-2005-3.3.1.3.3;Research domains 3.14 to 3.17 for all surface transport modes
SUSTDEV-2005-3.4.1.4.1;Safe maritime operations
SUSTDEV-2005-3.4.1.4.2;Research domain 4.13 (only for rail transport and powered two-wheelers) and research domains 4.15 and 4.16
SUSTDEV-2005-3.4.1.4.3;Research domains 4.11 to 4.16 for all surface transport modes
1.1.4.-4.3.2;Optimum use of land and rehabilitation of brownfield sites
IST-2000-3.1.5;Trials on new access modes to cultural and scientific content
IST-2000-6.2.1;P1: The disappearing computer
IST-2000-6.2.2;"P2: Neuroinformatics for ""living"" artefacts"
IST-2001-6.2.1;Nanotechnology information devices
IST-2002-6.2.2;Presence Research: Cognitive sciences and future media
IST-2005-2.5.10;Access to and preservation of cultural and scientific resources
IST-2005-2.5.12;ICT for Environmental Risk Management
IST-2005-2.5.11;e-Inclusion
IST-2005-2.5.8;ICT for Networked Businesses
IST-2005-2.5.9;Collaborative Working Environments
IST-2005-2.5.4;Advanced Grid Technologies, Systems and Services
IST-2005-2.5.6;Research networking testbeds
IST-2005-2.5.5;Software and Services
IST-2005-2.5.3;Embedded systems
IST-2005-2.5.1;Photonic components
IST-2005-2.5.2;Micro/nano based sub-systems
IST-2005-2.5.7;Multimodal interfaces
IST-2005-2.3.4;(xi) Simulating Emergent Properties in Complex Systems
CITIZENS-2002-1.1.3;Science and technology in the knowledge based society
CITIZENS-2002-1.2;STREPs and Coordination Actions within the area of Improving the generation, distribution and use of knowledge and its impact on economic and social development
CITIZENS-2002-3.1.1;Migration, immigration and multiculturalism as challenges for knowledge based societies
CITIZENS-2002-3.2;STREPs and Coordination Actions within the area of The variety of paths towards knowledge society
CITIZENS-2002-4.2;STREPs and Coordination Actions within the area of The implications of European integration and enlargement for governance and the citizen
CITIZENS-2002-5.1.1;Public interest: conception, regulation and implementation
CITIZENS-2002-7.2;STREPs and Coordination Actions within the area of New forms of citizenship and cultural identities
LSH-2002-1.1.0-1;Topics for Specific Targeted Research Project/CA in the area of Fundamental knowledge and basic tools for functional genomics in all organisms
LSH-2002-1.1.5-6;Multidisciplinary approaches of functional genomics to study chronic Inflammation processes in human disease
LSH-2002-2.2.0-1;Translating basic knowledge of functional oncogenomics into cancer diagnoses and treatment
LSH-2002-2.2.0-2;Multidisciplinary research to explore and validate molecular targets for innovative treatment
LSH-2002-2.2.0-8;Translational research on promising predictive and prognostic markers
LSH-2002-2.3.0-2;HIV microbicides
LSH-2002-3-2;Stimulating international cooperation
LSH-2003- 1.2.5-1;RNA as a human therapeutic tool
LSH-2003- 1.2.5-5;The fungal cell-wall as a target of antifungal therapies
LSH-2003- 1.2.5-6;Biotechnological and post-genomic approaches for the development of novel biosafe propagation deficient virus vectors aimed at prevention and treatment of infectious diseases (e.g. enteric, respiratory)
LSH-2003-1.1.0-1;Topics for Specific Targeted Research Project in the area of Fundamental knowledge and basic tools for functional genomics in all organisms
LSH-2003-1.1.0-2;Topics for CA in the area of Fundamental knowledge and basic tools for functional genomics in all organisms
LSH-2003-1.1.1-1;Global in situ gene expression analysis in rodent models and human tissues
LSH-2003-1.1.2-1;Comparative structural biology of viral replication
LSH-2003-1.1.3-1;Developing new molecular tools and approaches for high throughput molecular phenotyping of human populations
LSH-2003-1.1.4-1;Bioinformatics grid for European genomics research
LSH-2003-1.1.5-1;Functional genomics approaches in animal models to study human kidney disease
LSH-2003-1.1.5-2;Functional genomics approaches to the study of peroxisomes in health and disease
LSH-2003-1.2.1-2;Computer assisted modelling for drug discovery and testing
LSH-2003-1.2.1-6;Workshop on the creation of biopharmaceutical development platforms with involvement of Biotech SMEs and Pharmaceutical industry
LSH-2003-1.2.2-1;Development of genetic tests allowing for harmonisation, validation and standardisation
LSH-2003-1.2.2-3;Molecular diagnostics in mitochondrial diseases
LSH-2003-1.2.3-1;Optimisation of test batteries for human acute toxicity
LSH-2003-1.2.3-2;Non-animal test methods for chemicals, medicines, biologicals and bio-materials: a prospective analysis
LSH-2003-1.2.4-1;Improved gene delivery systems for the therapy of severe acquired diseases
LSH-2003-1.2.4-2;Gene therapy of inherited diseases
LSH-2003-1.2.4-5;New improved vaccines based on genomic and proteomic information
LSH-2003-1.2.4-6;Dendritic cells for novel immunotherapies
LSH-2003-1.2.4-7;Molecular strategies to improve precision in gene transfer for therapeutic applications
LSH-2003-2.1.0-1;Eicosanoids and nitric oxide: mediators of cardiovascular, cerebral and neoplastic diseases
LSH-2003-2.1.0-2;Coordination of clinical trials in Europe
LSH-2003-2.1.1-2;Molecular basis of exercise effects on the metabolic syndrome and insulin resistance
LSH-2003-2.1.1-3;Functional genomics of type 2 diabetes
LSH-2003-2.1.1-6;Molecular basis of vascular events leading to thrombotic stroke
LSH-2003-2.1.2-1;Functional genomics of antibiotics-producing organisms
LSH-2003-2.1.2-2;New molecular targets for the development of drugs against pathogens causing severe resistance problems
LSH-2003-2.1.2-3;Novel approaches to address antimicrobial resistance through non-antimicrobial based therapies
LSH-2003-2.1.3-1;Genomics and mechanisms of addiction
LSH-2003-2.1.3-3;Molecular mechanisms of neuronal degeneration
LSH-2003-2.1.3-5;Cortical development
LSH-2003-2.1.3-6;Excitotoxic neuronal cell death
LSH-2003-2.1.3-9;Specific brain research support actions
LSH-2003-2.1.4-1;Regulation of mitochondrial activity
LSH-2003-2.1.4-2;Molecular mechanisms of embryo implantation
LSH-2003-2.3.0-1;Highly innovative approaches for the development of new interventions for HIV, malaria and tuberculosis
LSH-2003-2.3.0-2;Coordination of European research on HIV, malaria and tuberculosis at the global level
LSH-2003-3-1;Promotion of SME participation
LSH-2003-3-2;Stimulating international co-operation
LSH-2003-3-4;Stimulating exploitation
LSH-2003-3-5;Scientific and project management
LSH-2003-3-6;Realising ERA objectives
LSH-2003-3-7;EU Strategy for Life Sciences and Biotechnology
NUCTECH-2003-3.4.2.1-1;Education and training in nuclear engineering and safety
NUCTECH-2003-3.4.2.1-2;Education and training needs for radiation protection and radioactive waste management
NUCTECH-2003-3.4.2.1-3;Infrastructures for nuclear fission and radiation protection research
NUCTECH-2003-3.4.3.1-1;Prediction of irradiation damage effects on reactor components
NUCTECH-2003-3.4.3.1-2;Sustainable integration of European research on severe accident phenomenology and management
NUCTECH-2003-3.4.3.1-3;Material test reactors for advancing the knowledge of materials, fuel and production of radioisotopes for nuclear medicine
NUCTECH-2003-3.4.3.1-4;Decommissioning of nuclear installations
RAD PROT-2003- 3.3.1.1.-1;Cellular and molecular biology research on the effects of low and protracted doses
RAD PROT-2003- 3.3.2.1.-1;Safety and efficacy of computed tomography (CT)
RAD PROT-2003-3.3.4.1-1;Off-site emergency management
RAD PROT-2004-3.3.3.1-1;Assessment and management of the impact of radionuclides on man and the environment
NUWASTE-2003-3.2.1.1-2;Sustainable integration of European research on actinides
NUWASTE-2003-3.2.1.1-3;Understanding and physical and numerical modelling of key processes in the near-field, and their coupling, for different host rocks and repository strategies
NUWASTE-2003-3.2.1.1-4;Development and testing of disposal concepts and technologies in Underground Research Laboratories
NUWASTE-2003-3.2.1.1-5;Improving the governance of geological waste disposal
NUWASTE-2003-3.2.2.1-1;Partitioning of actinides and fission products from high-level nuclear waste for their transmutation or conditioning in stable matrices
NUWASTE-2003-3.2.2.1-2;Impact of partitioning and transmutation
